,season,team_1,team_2,home,seed_diff,score_diff,score_1,score_2,won,pred
0,1985,288,73,0,-3,-9,41,50,0,0.12815829
1,1985,5929,73,0,4,6,61,55,1,0.14778417
2,1985,9884,73,0,5,-4,59,63,0,0.12909056
3,1985,73,288,0,3,9,50,41,1,0.1739362
4,1985,3920,410,0,1,-9,54,63,0,0.16082434
5,1985,8405,410,0,8,3,68,65,1,0.1961235
6,1985,4149,513,0,8,-2,64,66,0,0.14192148
7,1985,6281,513,0,9,6,62,56,1,0.15268235
8,1985,7201,513,0,5,-1,58,59,0,0.16350314
9,1985,2340,764,0,8,-1,73,74,0,0.13058652
10,1985,5077,764,0,9,2,59,57,1,0.13106924
11,1985,8984,764,0,5,-2,53,55,0,0.11320231
12,1985,10020,2082,0,1,2,51,49,1,0.16623668
13,1985,8662,2204,0,3,5,70,65,1,0.15320107
14,1985,764,2340,0,-8,1,74,73,1,0.1606486
15,1985,6966,2340,0,-11,-13,62,75,0,0.12374274
16,1985,5212,2675,0,15,4,59,55,1,0.14435373
17,1985,3234,3132,0,-1,-6,54,60,0,0.10809134
18,1985,4400,3132,0,-15,-25,43,68,0,0.12106598
19,1985,4698,3132,0,-3,-12,53,65,0,0.14859875
20,1985,8405,3132,0,0,-18,59,77,0,0.17151439
21,1985,8746,3132,0,-7,-17,46,63,0,0.11911667
22,1985,10020,3132,0,-7,2,66,64,1,0.15140313
23,1985,3745,3166,0,3,16,74,58,1,0.16900341
24,1985,10564,3166,0,-5,-8,59,67,0,0.127329
25,1985,3132,3234,0,1,6,60,54,1,0.20125172
26,1985,3745,3234,0,-1,-8,53,61,0,0.19166546
27,1985,5111,3234,0,-13,-7,58,65,0,0.17014046
28,1985,8662,3234,0,-5,-17,53,70,0,0.16639161
29,1985,3166,3745,0,-3,-16,58,74,0,0.16736412
30,1985,3234,3745,0,1,8,61,53,1,0.112016425
31,1985,6372,3745,0,-11,-19,57,76,0,0.16244802
32,1985,6664,3779,0,8,6,75,69,1,0.15253071
33,1985,9663,3779,0,1,-3,55,58,0,0.13485368
34,1985,4698,3886,0,9,1,59,58,1,0.17056735
35,1985,410,3920,0,-1,9,63,54,1,0.12963341
36,1985,6629,3954,0,9,11,75,64,1,0.17162287
37,1985,513,4149,0,-8,2,66,64,1,0.14003482
38,1985,6595,4149,0,-11,-11,38,49,0,0.158877
39,1985,8405,4264,0,11,16,86,70,1,0.20025161
40,1985,9629,4264,0,8,-3,61,64,0,0.19003503
41,1985,10366,4264,0,7,-8,58,66,0,0.17327082
42,1985,3132,4400,0,15,25,68,43,1,0.19593926
43,1985,6629,4562,0,1,-12,67,79,0,0.14519311
44,1985,6664,4562,0,4,2,86,84,1,0.13942672
45,1985,7000,4562,0,-7,-24,54,78,0,0.09906153
46,1985,3132,4698,0,3,12,65,53,1,0.18466601
47,1985,3886,4698,0,-9,-1,58,59,0,0.13101193
48,1985,8059,4698,0,-1,-13,57,70,0,0.12136067
49,1985,5850,4732,0,-9,23,78,55,1,0.13044503
50,1985,9884,4907,0,13,16,81,65,1,0.14263229
51,1985,5178,4941,0,-7,-1,68,69,0,0.17137708
52,1985,5850,4941,0,-8,-5,59,64,0,0.13569963
53,1985,10020,4941,0,-3,3,46,43,1,0.18251997
54,1985,764,5077,0,-9,-2,57,59,0,0.16045095
55,1985,6664,5077,0,1,-2,61,63,0,0.15168542
56,1985,6898,5077,0,-13,-12,55,67,0,0.13339174
57,1985,9269,5077,0,-5,-1,66,67,0,0.15375796
58,1985,10020,5077,0,-6,7,52,45,1,0.17538112
59,1985,3234,5111,0,13,7,65,58,1,0.120829806
60,1985,4941,5178,0,7,1,69,68,1,0.11208328
61,1985,2675,5212,0,-15,-4,55,59,0,0.1569022
62,1985,10020,5212,0,-7,4,59,55,1,0.16956103
63,1985,9269,5246,0,3,2,70,68,1,0.14231808
64,1985,6281,5715,0,13,19,76,57,1,0.16557753
65,1985,4732,5850,0,9,-23,55,78,0,0.13952468
66,1985,4941,5850,0,8,5,64,59,1,0.12669137
67,1985,6664,5884,0,15,13,96,83,1,0.1485403
68,1985,73,5929,0,-4,-6,55,61,0,0.16590041
69,1985,6012,5929,0,-11,-9,56,65,0,0.13422614
70,1985,8405,5929,0,2,9,69,60,1,0.18617241
71,1985,9847,5929,0,-8,-13,73,86,0,0.13802375
72,1985,5929,6012,0,11,9,65,56,1,0.16075316
73,1985,513,6281,0,-9,-6,56,62,0,0.13562879
74,1985,5715,6281,0,-13,-19,57,76,0,0.10413478
75,1985,6542,6281,0,-5,-2,58,60,0,0.17439076
76,1985,10020,6281,0,-6,12,56,44,1,0.16974881
77,1985,3745,6372,0,11,19,76,57,1,0.1710163
78,1985,6281,6542,0,5,2,60,58,1,0.1368113
79,1985,6830,6542,0,-3,-9,70,79,0,0.14494582
80,1985,4149,6595,0,11,11,49,38,1,0.13420656
81,1985,3954,6629,0,-9,-11,64,75,0,0.0976871
82,1985,4562,6629,0,-1,12,79,67,1,0.16223674
83,1985,3779,6664,0,-8,-6,69,75,0,0.13259381
84,1985,4562,6664,0,-4,-2,84,86,0,0.16459778
85,1985,5077,6664,0,-1,2,63,61,1,0.13465828
86,1985,5884,6664,0,-15,-13,83,96,0,0.1423396
87,1985,8059,6732,0,7,17,85,68,1,0.13471408
88,1985,6542,6830,0,3,9,79,70,1,0.1710601
89,1985,5077,6898,0,13,12,67,55,1,0.14214861
90,1985,2340,6966,0,11,13,75,62,1,0.14569758
91,1985,4562,7000,0,7,24,78,54,1,0.18112525
92,1985,513,7201,0,-5,1,59,58,1,0.13119823
93,1985,9629,7693,0,9,5,85,80,1,0.1745827
94,1985,4698,8059,0,1,13,70,57,1,0.17451905
95,1985,6732,8059,0,-7,-17,68,85,0,0.1419059
96,1985,8405,8239,0,15,24,83,59,1,0.19457379
97,1985,410,8405,0,-8,-3,65,68,0,0.115180224
98,1985,3132,8405,0,0,18,77,59,1,0.17528322
99,1985,4264,8405,0,-11,-16,70,86,0,0.10509809
100,1985,5929,8405,0,-2,-9,60,69,0,0.13948384
101,1985,8239,8405,0,-15,-24,59,83,0,0.11896506
102,1985,2204,8662,0,-3,-5,65,70,0,0.15458013
103,1985,3234,8662,0,5,17,70,53,1,0.12236477
104,1985,3132,8746,0,7,17,63,46,1,0.19673741
105,1985,10088,8746,0,-1,-3,57,60,0,0.11952561
106,1985,764,8984,0,-5,2,55,53,1,0.16776654
107,1985,9847,9167,0,-5,4,79,75,1,0.14694819
108,1985,5077,9269,0,5,1,67,66,1,0.13380969
109,1985,5246,9269,0,-3,-2,68,70,0,0.16174936
110,1985,4264,9629,0,-8,3,64,61,1,0.10928126
111,1985,7693,9629,0,-9,-5,80,85,0,0.1470206
112,1985,3779,9663,0,-1,3,58,55,1,0.13983165
113,1985,5929,9847,0,8,13,86,73,1,0.15919824
114,1985,9167,9847,0,5,-4,75,79,0,0.13740201
115,1985,73,9884,0,-5,4,63,59,1,0.17355448
116,1985,4907,9884,0,-13,-16,65,81,0,0.14048141
117,1985,2082,10020,0,-1,-2,49,51,0,0.14728965
118,1985,3132,10020,0,7,-2,64,66,0,0.18351775
119,1985,4941,10020,0,3,-3,43,46,0,0.10752083
120,1985,5077,10020,0,6,-7,45,52,0,0.1249561
121,1985,5212,10020,0,7,-4,55,59,0,0.13917059
122,1985,6281,10020,0,6,-12,44,56,0,0.13871194
123,1985,8746,10088,0,1,3,60,57,1,0.15073095
124,1985,4264,10366,0,-7,8,66,58,1,0.11614534
125,1985,3166,10564,0,5,8,67,59,1,0.18442765
126,1986,5213,40,0,13,6,70,64,1,0.14314985
127,1986,3746,74,0,1,-2,56,58,0,0.16720843
128,1986,4265,74,0,4,5,68,63,1,0.18306369
129,1986,10787,74,0,-7,-17,80,97,0,0.166704
130,1986,514,289,0,1,10,73,63,1,0.1814132
131,1986,5930,357,0,8,14,80,66,1,0.109567866
132,1986,6543,357,0,11,-7,83,90,0,0.13862112
133,1986,289,514,0,-1,-10,63,73,0,0.102400094
134,1986,4597,514,0,6,8,84,76,1,0.10724305
135,1986,8406,514,0,7,-16,65,81,0,0.14521614
136,1986,9630,514,0,4,-7,63,70,0,0.18592337
137,1986,5078,589,0,11,32,95,63,1,0.14578407
138,1986,4597,867,0,5,14,82,68,1,0.11091245
139,1986,9848,867,0,-3,-18,65,83,0,0.176269
140,1986,8663,909,0,13,49,101,52,1,0.16848329
141,1986,3819,1551,0,11,-4,79,83,0,0.15947075
142,1986,5851,1551,0,7,1,71,70,1,0.17905885
143,1986,8440,1551,0,8,-6,69,75,0,0.15460639
144,1986,4265,2049,0,15,20,75,55,1,0.19435634
145,1986,2341,2205,0,11,7,74,67,1,0.18906713
146,1986,6665,2205,0,8,-5,69,74,0,0.18367909
147,1986,10055,2205,0,7,-4,68,72,0,0.17798133
148,1986,4597,2307,0,13,20,93,73,1,0.130571
149,1986,2205,2341,0,-11,-7,67,74,0,0.1074221
150,1986,4150,2341,0,0,-4,67,71,0,0.1500637
151,1986,4597,2341,0,-1,3,72,69,1,0.10246645
152,1986,5652,2341,0,-15,-7,78,85,0,0.14473428
153,1986,5851,2341,0,-6,-21,50,71,0,0.17849518
154,1986,6733,2341,0,-7,-28,61,89,0,0.114917874
155,1986,3746,2710,0,9,24,75,51,1,0.15245904
156,1986,5247,3133,0,-1,12,80,68,1,0.15249482
157,1986,8985,3133,0,-9,-6,64,70,0,0.13561474
158,1986,4733,3235,0,-9,6,70,64,1,0.13975796
159,1986,4840,3235,0,-13,-15,53,68,0,0.13067584
160,1986,10021,3235,0,-8,-5,61,66,0,0.16496786
161,1986,74,3746,0,-1,2,58,56,1,0.11869445
162,1986,2710,3746,0,-9,-24,51,75,0,0.15471703
163,1986,1551,3819,0,-11,4,83,79,1,0.16660999
164,1986,5930,3921,0,5,2,66,64,1,0.11948788
165,1986,5179,3955,0,-3,-2,79,81,0,0.1419407
166,1986,5213,3955,0,5,-3,69,72,0,0.1342249
167,1986,5930,3955,0,1,4,70,66,1,0.11644654
168,1986,8747,4059,0,-1,11,61,50,1,0.13821988
169,1986,2341,4150,0,0,4,71,67,1,0.17160758
170,1986,5247,4150,0,-4,-10,86,96,0,0.14009134
171,1986,5885,4150,0,-15,-25,46,71,0,0.15392806
172,1986,5930,4150,0,-5,-8,67,75,0,0.11625758
173,1986,8747,4150,0,-8,-22,43,65,0,0.13062382
174,1986,74,4265,0,-4,-5,63,68,0,0.11220254
175,1986,2049,4265,0,-15,-20,55,75,0,0.0846224
176,1986,4733,4265,0,-10,2,59,57,1,0.12425856
177,1986,10225,4265,0,-7,-7,64,71,0,0.10617774
178,1986,514,4597,0,-6,-8,76,84,0,0.17943025
179,1986,867,4597,0,-5,-14,68,82,0,0.17046846
180,1986,2307,4597,0,-13,-20,73,93,0,0.12245625
181,1986,2341,4597,0,1,-3,69,72,0,0.19109622
182,1986,4733,4597,0,-9,-11,77,88,0,0.14801541
183,1986,6282,4597,0,-1,-15,79,94,0,0.16030225
184,1986,3235,4733,0,9,-6,64,70,0,0.14027303
185,1986,4265,4733,0,10,-2,57,59,0,0.17812736
186,1986,4597,4733,0,9,11,88,77,1,0.120105825
187,1986,5078,4733,0,8,-2,81,83,0,0.15895645
188,1986,7202,4733,0,5,-7,87,94,0,0.1336733
189,1986,3235,4840,0,13,15,68,53,1,0.1439917
190,1986,6967,4942,0,-7,-5,64,69,0,0.18021806
191,1986,9630,4942,0,1,6,70,64,1,0.20582803
192,1986,589,5078,0,-11,-32,63,95,0,0.16427909
193,1986,4733,5078,0,-8,2,83,81,1,0.13210806
194,1986,3955,5179,0,3,2,81,79,1,0.16182661
195,1986,40,5213,0,-13,-6,64,70,0,0.14318836
196,1986,3955,5213,0,-5,3,72,69,1,0.16498584
197,1986,3133,5247,0,1,-12,68,80,0,0.13267484
198,1986,4150,5247,0,4,10,96,86,1,0.16296797
199,1986,10367,5247,0,-7,-2,70,72,0,0.10823016
200,1986,9270,5383,0,5,2,66,64,1,0.12743725
201,1986,8406,5548,0,15,9,83,74,1,0.174245
202,1986,2341,5652,0,15,7,85,78,1,0.1737897
203,1986,1551,5851,0,-7,-1,70,71,0,0.15858966
204,1986,2341,5851,0,6,21,71,50,1,0.15996633
205,1986,8663,5851,0,5,-12,85,97,0,0.13978401
206,1986,9168,5851,0,-3,-19,68,87,0,0.13068897
207,1986,4150,5885,0,15,25,71,46,1,0.15730254
208,1986,357,5930,0,-8,-14,66,80,0,0.189065
209,1986,3921,5930,0,-5,-2,64,66,0,0.16483727
210,1986,3955,5930,0,-1,-4,66,70,0,0.17226517
211,1986,4150,5930,0,5,8,75,67,1,0.17272668
212,1986,10225,5979,0,1,8,67,59,1,0.12965107
213,1986,4597,6282,0,1,15,94,79,1,0.11507499
214,1986,9270,6282,0,-3,-18,59,77,0,0.11429323
215,1986,9766,6282,0,-11,-12,72,84,0,0.12642154
216,1986,6665,6373,0,9,6,80,74,1,0.16537112
217,1986,357,6543,0,-11,7,90,83,1,0.17716917
218,1986,2205,6665,0,-8,5,74,69,1,0.109628215
219,1986,6373,6665,0,-9,-6,74,80,0,0.15434189
220,1986,2341,6733,0,7,28,89,61,1,0.185998
221,1986,10469,6733,0,-1,-8,64,72,0,0.15609297
222,1986,4942,6967,0,7,5,69,64,1,0.10908734
223,1986,4733,7202,0,-5,7,94,87,1,0.14246023
224,1986,8440,7358,0,5,1,60,59,1,0.15256922
225,1986,514,8406,0,-7,16,81,65,1,0.16388223
226,1986,5548,8406,0,-15,-9,74,83,0,0.092984796
227,1986,1551,8440,0,-8,6,75,69,1,0.16860169
228,1986,7358,8440,0,-5,-1,59,60,0,0.1735771
229,1986,909,8663,0,-13,-49,52,101,0,0.11666631
230,1986,5851,8663,0,-5,12,97,85,1,0.18675882
231,1986,4059,8747,0,1,-11,50,61,0,0.14829253
232,1986,4150,8747,0,8,22,65,43,1,0.16684443
233,1986,3133,8985,0,9,6,70,64,1,0.13958637
234,1986,5851,9168,0,3,19,87,68,1,0.19048277
235,1986,5383,9270,0,-5,-2,64,66,0,0.1285206
